"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1730","花仙子","5.04","110","14.37","2.06","111/1",
"1731","美吾華","6.05","110","15.36","1.25","111/1",
"1732","毛寶","0.98","110","105.15","3.10","111/1",
"1733","五鼎","5.00","110","12.15","1.44","111/1",
"1734","杏輝","0.71","110","312.22","1.68","111/1",
"1735","日勝化","2.81","109","-","1.22","111/1",
"1736","喬山","0.95","110","308.24","1.80","111/1",
"1737","臺鹽","4.46","110","16.10","1.04","111/1",
"1752","南光","4.98","110","19.03","1.60","111/1",
"1760","寶齡富錦","1.46","110","52.03","4.73","111/1",
"1762","中化生","2.20","110","10.67","1.54","111/1",
"1773","勝一","2.77","110","23.08","5.43","111/1",
"1776","展宇","7.56","110","9.97","1.28","111/1",
"1783","和康生","2.70","110","33.08","2.45","111/1",
"1786","科妍","3.34","110","27.10","1.91","111/1",
"1789","神隆","2.11","110","78.45","1.69","111/1",
"1795","美時","1.49","110","24.25","2.94","111/1",
"1802","台玻","8.63","110","5.66","1.07","111/1",
"1805","寶徠","0.00","109","-","2.07","111/1",
"1806","冠軍","8.93","110","4.23","0.74","111/1",
"1808","潤隆","5.07","110","21.59","4.58","111/1",
"1809","中釉","1.96","110","47.22","0.72","111/1",
"1810","和成","1.58","110","3.49","0.64","111/1",
"1817","凱撒衛","5.77","110","11.14","1.34","111/1",
"1903","士紙","0.00","109","-","2.09","111/1",
"1904","正隆","6.34","110","9.60","1.27","111/1",
"1905","華紙","2.12","110","60.81","1.33","111/1",
"1906","寶隆","3.29","110","12.33","0.46","111/1",
"1907","永豐餘","5.59","110","11.47","0.83","111/1",
"1909","榮成","6.69","110","12.38","0.84","111/1",
"2002","中鋼","9.30","110","7.98","1.40","111/1",
"2006","東和鋼鐵","10.47","110","7.81","1.70","111/1",
"2007","燁興","0.00","109","-","1.09","111/1",
"2008","高興昌","0.00","109","56.72","1.12","111/1",
"2009","第一銅","2.95","110","37.61","1.86","111/1",
"2010","春源","6.70","110","10.96","1.16","111/1",
"2012","春雨","7.14","110","9.62","1.81","111/1",
"2013","中鋼構","3.46","110","21.89","2.16","111/1",
"2014","中鴻","8.46","110","9.22","2.01","111/1",
"2015","豐興","6.63","110","10.34","2.17","111/1",
"2017","官田鋼","7.62","110","9.66","1.05","111/1",
"2020","美亞","9.80","110","10.74","1.78","111/1",
"2022","聚亨","0.00","109","17.98","1.38","111/1",
"2023","燁輝","4.91","110","7.35","1.16","111/1",
"2024","志聯","5.80","110","14.08","1.58","111/1",
"2025","千興","0.00","109","2.78","1.59","111/1",
"2027","大成鋼","4.32","110","6.21","1.40","111/1",
"2028","威致","7.54","110","6.53","2.17","111/1",
"2029","盛餘","8.35","110","7.91","1.05","111/1",
"2030","彰源","6.80","110","5.78","1.52","111/1",
"2031","新光鋼","8.22","110","6.68","1.38","111/1",
"2032","新鋼","4.46","110","20.19","2.02","111/1",
"2033","佳大","1.04","110","120.63","1.49","111/1",
"2034","允強","4.85","110","9.25","1.46","111/1",
"2038","海光","5.73","110","10.31","1.28","111/1",
"2049","上銀","2.08","110","16.90","2.45","111/1",
"2059","川湖","2.48","110","16.37","3.09","111/1",
"2062","橋椿","1.96","110","10.22","0.76","111/1",
"2069","運錩","8.16","110","6.27","1.01","111/1",
"2101","南港","0.00","110","-","3.02","111/1",
"2102","泰豐","0.08","109","-","2.13","111/1",
"2103","台橡","8.01","110","6.70","1.44","111/1",
"2104","國際中橡","0.95","110","6.45","0.59","111/1",
"2105","正新","3.49","110","23.09","1.32","111/1",
"2106","建大","3.21","110","67.83","1.52","111/1",
"2107","厚生","5.61","110","10.09","0.59","111/1",
"2108","南帝","13.94","110","4.72","1.82","111/1",
"2109","華豐","6.76","110","11.94","1.30","111/1",
