"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"3706","神達","7.12","110","2.85","0.66","111/1",
"3708","上緯投控","1.21","110","60.78","2.05","111/1",
"3711","日月光投控","6.73","110","6.53","1.79","111/1",
"3712","永崴投控","4.84","110","16.23","1.05","111/1",
"3714","富采","3.31","110","12.88","0.80","111/1",
"4104","佳醫","5.99","110","14.62","1.25","111/1",
"4106","雃博","2.01","110","26.60","1.30","111/1",
"4108","懷特","0.00","110","-","1.99","111/1",
"4119","旭富","3.00","109","143.45","2.35","111/1",
"4133","亞諾法","0.95","110","81.69","2.42","111/1",
"4137","麗豐-KY","6.19","110","11.45","2.79","111/1",
"4142","國光生","1.40","109","254.64","2.59","111/1",
"4148","全宇生技-KY","2.46","110","16.31","1.94","111/1",
"4155","訊映","4.29","110","35.30","1.28","111/1",
"4164","承業醫","4.90","110","19.62","1.13","111/1",
"4190","佐登-KY","5.46","110","16.96","1.80","111/1",
"4306","炎洲","6.27","110","46.91","0.94","111/1",
"4414","如興","0.00","109","-","0.57","111/1",
"4426","利勤","0.00","109","-","1.57","111/1",
"4438","廣越","3.65","110","15.86","1.69","111/1",
"4439","冠星-KY","4.45","110","13.30","1.68","111/1",
"4440","宜新實業","8.56","110","10.39","1.99","111/1",
"4526","東台","1.32","110","15.30","0.76","111/1",
"4532","瑞智","3.94","110","16.14","0.93","111/1",
"4536","拓凱","4.67","110","13.11","1.88","111/1",
"4540","全球傳動","2.87","110","13.09","1.27","111/1",
"4545","銘鈺","2.23","110","20.13","1.36","111/1",
"4551","智伸科","3.41","110","14.22","2.35","111/1",
"4552","力達-KY","3.36","110","9.09","0.61","111/1",
"4555","氣立","3.07","110","16.40","1.44","111/1",
"4557","永新-KY","5.45","110","15.25","1.94","111/1",
"4560","強信-KY","4.37","110","12.10","1.56","111/1",
"4562","穎漢","0.00","109","-","1.21","111/1",
"4564","元翎","4.08","110","18.88","1.35","111/1",
"4566","時碩工業","2.33","110","15.38","1.36","111/1",
