"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2426","鼎元","9.66","3.11","108","16.10","0.79","108/4",
"2427","三商電","9.66","3.62","108","15.33","0.81","108/4",
"2428","興勤","74.00","5.68","108","8.50","1.49","108/4",
"2429","銘旺科","17.30","0.00","107","-","2.43","108/4",
"2430","燦坤","13.75","7.27","108","10.83","0.49","108/4",
"2431","聯昌","6.89","0.00","107","86.13","0.58","108/4",
"2433","互盛電","48.40","7.85","108","11.42","1.68","108/4",
"2434","統懋","5.30","0.00","107","-","2.79","108/4",
"2436","偉詮電","21.80","6.88","108","11.72","1.29","108/4",
"2438","翔耀","5.55","0.00","107","-","0.90","108/4",
"2439","美律","123.50","6.24","108","10.11","2.01","108/4",
"2440","太空梭","7.88","0.00","107","-","1.05","108/4",
"2441","超豐","40.15","5.73","108","12.06","1.37","108/4",
"2442","新美齊","6.55","23.05","107","9.23","0.51","108/4",
"2443","昶虹","2.84","0.00","107","-","0.46","108/4",
"2444","兆勁","14.10","0.00","107","-","1.49","108/4",
"2448","晶電","26.40","1.14","107","-","0.63","108/4",
"2449","京元電子","30.15","5.97","108","12.11","1.41","108/4",
"2450","神腦","26.40","5.49","108","16.60","1.17","108/4",
"2451","創見","66.70","6.75","108","16.55","1.48","108/4",
"2453","凌群","14.45","6.92","108","11.20","0.80","108/4",
"2454","聯發科","334.00","2.69","107","22.94","1.69","108/4",
"2455","全新","79.50","3.14","108","28.60","5.19","108/4",
"2456","奇力新","81.90","4.27","108","17.61","0.86","108/4",
"2457","飛宏","5.93","0.00","107","-","0.41","108/4",
"2458","義隆","85.00","7.65","108","9.92","3.23","108/4",
"2459","敦吉","37.20","8.06","108","8.86","0.90","108/4",
"2460","建通","7.10","0.00","107","-","0.53","108/4",
"2461","光群雷","12.55","3.27","107","-","0.79","108/4",
"2462","良得電","24.10","2.07","107","25.91","1.34","108/4",
"2464","盟立","30.65","8.16","108","8.78","1.47","108/4",
"2465","麗臺","6.47","0.00","107","-","1.11","108/4",
"2466","冠西電","32.00","0.00","107","177.78","2.94","108/4",
"2467","志聖","25.35","9.86","108","12.13","1.51","108/4",
"2468","華經","12.90","3.88","108","19.55","0.79","108/4",
"2471","資通","18.60","7.63","108","11.01","1.18","108/4",
"2472","立隆電","27.40","5.47","108","8.18","1.05","108/4",
"2474","可成","201.50","5.96","107","13.77","1.05","108/4",
"2476","鉅祥","18.25","7.12","108","10.20","0.73","108/4",
"2477","美隆電","19.95","8.02","108","9.41","1.22","108/4",
"2478","大毅","52.50","4.76","107","19.30","1.43","108/4",
"2480","敦陽科","53.30","8.35","108","12.69","2.03","108/4",
"2481","強茂","19.10","5.50","108","12.01","1.02","108/4",
"2482","連宇","9.83","0.00","107","25.21","0.80","108/4",
"2483","百容","16.30","6.13","108","11.40","0.75","108/4",
"2484","希華","15.55","6.11","108","20.46","0.85","108/4",
"2485","兆赫","13.55","3.69","107","-","0.65","108/4",
"2486","一詮","5.82","0.00","107","-","0.39","108/4",
"2488","漢平","26.05","8.83","108","7.44","1.01","108/4",
"2489","瑞軒","6.60","0.00","107","660.00","0.45","108/4",
"2491","吉祥全","7.00","0.00","107","1.28","0.56","108/4",
"2492","華新科","162.50","10.05","107","11.85","2.33","108/4",
"2493","揚博","26.60","9.40","108","13.30","1.30","108/4",
"2495","普安","10.85","5.53","108","14.86","0.71","108/4",
"2496","卓越","52.80","2.84","108","11.97","1.16","108/4",
"2497","怡利電","13.65","0.00","107","1,365.00","1.12","108/4",
"2498","宏達電","28.90","1.31","107","-","0.68","108/4",
"2499","東貝","4.57","0.00","107","-","0.46","108/3",
"2501","國建","16.90","12.43","107","14.32","0.80","108/4",
"2504","國產","11.00","2.27","107","13.75","0.75","108/4",
"2505","國揚","17.85","2.80","107","223.13","1.52","108/4",
"2506","太設","8.78","1.82","107","14.63","0.46","108/3",
"2509","全坤建","19.60","3.57","108","9.07","0.90","108/4",
"2511","太子","9.12","5.48","108","15.46","0.62","108/4",
"2514","龍邦","13.30","1.88","107","5.66","0.59","108/4",
"2515","中工","5.89","3.40","108","29.45","0.45","108/4",
"2516","新建","4.15","0.00","107","27.67","0.38","108/4",
"2520","冠德","22.80","6.58","108","8.77","0.89","108/4",
"2524","京城","29.95","0.00","107","6.97","0.86","108/4",
"2527","宏璟","17.60","10.23","108","6.20","0.57","108/4",
"2528","皇普","17.50","0.00","107","-","1.64","108/4",
"2530","華建","15.55","0.64","108","-","1.35","108/4",
"2534","宏盛","15.45","3.24","108","6.84","0.65","108/4",
"2535","達欣工","19.50","7.28","108","9.20","0.82","108/4",
"2536","宏普","20.10","4.98","107","10.98","0.56","108/4",
"2537","聯上發","7.39","0.00","107","-","0.58","108/4",
"2538","基泰","8.83","6.80","107","-","0.58","108/4",
"2539","櫻花建","31.60","9.18","108","9.84","2.03","108/4",
"2540","愛山林","16.90","0.00","107","12.25","0.57","108/4",
"2542","興富發","39.90","10.03","108","15.00","1.50","108/4",
"2543","皇昌","6.60","0.00","107","66.00","0.79","108/4",
"2545","皇翔","28.55","4.20","108","713.75","0.93","108/4",
"2546","根基","34.20","8.77","108","9.02","1.32","108/4",
"2547","日勝生","9.06","6.62","108","20.13","0.70","108/4",
"2548","華固","81.80","9.17","108","7.21","1.36","108/4",
"2597","潤弘","58.30","7.72","108","11.59","2.04","108/4",
"2601","益航","8.73","1.15","107","3.91","0.60","108/4",
"2603","長榮","9.10","0.00","107","455.00","0.63","108/4",
"2605","新興","12.00","4.17","108","80.00","0.45","108/4",
"2606","裕民","26.55","7.16","108","13.83","0.84","108/4",
"2607","榮運","11.65","2.58","108","14.75","0.55","108/4",
"2608","嘉里大榮","36.35","4.29","107","12.53","1.79","108/4",
"2609","陽明","5.06","0.00","107","-","0.80","108/4",
"2610","華航","6.53","3.22","107","-","0.63","108/4",
"2611","志信","5.60","7.32","107","-","0.40","108/4",
"2612","中航","21.90","3.65","108","13.35","0.44","108/4",
"2613","中櫃","10.80","1.57","108","41.54","0.49","108/4",
"2614","東森","10.10","9.90","107","-","0.93","108/3",
"2615","萬海","14.35","5.57","108","8.91","0.88","108/4",
"2616","山隆","28.40","6.34","108","13.27","0.96","108/4",
"2617","台航","13.70","9.49","107","9.51","0.56","108/4",
"2618","長榮航","9.04","2.77","108","11.02","0.62","108/4",
"2630","亞航","13.40","0.60","108","36.22","1.00","108/4",
"2633","台灣高鐵","28.35","4.30","108","19.96","2.24","108/4",
"2634","漢翔","26.65","4.47","108","13.39","1.71","108/4",
"2636","台驊控股","19.20","6.77","108","8.93","0.92","108/4",
"2637","慧洋-KY","21.90","6.85","108","6.87","0.52","108/4",
