"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"2347","聯強","5.98","108","10.15","1.54","109/2",
"2348","海悅","4.65","108","9.80","4.06","109/2",
"2349","錸德","0.00","108","-","1.22","109/2",
"2351","順德","3.80","108","28.87","1.60","109/2",
"2352","佳世達","4.03","108","12.92","1.11","109/2",
"2353","宏碁","3.25","108","22.02","1.29","109/2",
"2354","鴻準","4.68","108","11.76","0.79","109/2",
"2355","敬鵬","3.85","108","24.76","0.69","109/2",
"2356","英業達","5.63","108","11.61","1.50","109/2",
"2357","華碩","5.68","108","12.65","1.07","109/2",
"2358","廷鑫","1.37","108","61.04","1.11","109/2",
"2359","所羅門","4.03","108","18.90","0.76","109/2",
"2360","致茂","1.88","108","31.47","4.70","109/2",
"2362","藍天","1.32","108","44.49","0.48","109/2",
"2363","矽統","14.57","108","-","0.92","109/2",
"2364","倫飛","0.00","108","-","1.87","109/2",
"2365","昆盈","4.21","108","13.31","0.76","109/2",
"2367","燿華","3.75","108","37.46","1.28","109/2",
"2368","金像電","0.00","108","18.62","3.52","109/2",
"2369","菱生","0.00","108","-","0.87","109/2",
"2371","大同","0.00","108","9.18","1.14","109/2",
"2373","震旦行","7.13","108","15.09","3.08","109/2",
"2374","佳能","2.36","108","-","0.61","109/2",
"2375","凱美","1.20","108","13.14","1.04","109/2",
"2376","技嘉","2.66","108","17.17","2.18","109/2",
"2377","微星","3.03","108","18.34","3.82","109/2",
"2379","瑞昱","2.81","108","27.70","7.96","109/2",
"2380","虹光","0.00","108","-","0.81","109/2",
"2382","廣達","4.76","108","16.95","2.32","109/2",
"2383","台光電","3.34","108","15.20","4.17","109/2",
"2385","群光","6.64","108","11.68","2.56","109/2",
"2387","精元","1.37","108","45.34","2.26","109/2",
"2388","威盛","0.00","108","-","5.80","109/2",
"2390","云辰","0.00","108","24.87","1.79","109/2",
"2392","正崴","5.84","108","9.73","0.99","109/2",
"2393","億光","3.82","108","16.81","0.98","109/2",
"2395","研華","2.90","108","28.61","7.01","109/2",
"2397","友通","7.34","108","15.73","2.76","109/2",
"2399","映泰","0.00","108","29.75","1.05","109/2",
"2401","凌陽","2.33","108","-","0.96","109/2",
"2402","毅嘉","2.97","108","37.44","0.93","109/2",
"2404","漢唐","6.36","108","12.14","5.02","109/2",
"2405","輔信","0.00","108","133.00","0.96","109/2",
"2406","國碩","0.00","108","-","1.48","109/2",
"2408","南亞科","2.94","108","18.19","1.03","109/2",
"2409","友達","0.00","108","-","0.62","109/2",
"2412","中華電","3.90","108","25.71","2.34","109/2",
"2413","環科","0.00","108","-","1.41","109/2",
"2414","精技","5.86","108","12.74","1.59","109/2",
"2415","錩新","3.13","108","-","0.93","109/2",
"2417","圓剛","0.13","108","72.95","4.97","109/2",
"2419","仲琦","3.57","108","32.94","1.52","109/2",
"2420","新巨","5.59","108","12.30","1.84","109/2",
"2421","建準","3.17","108","16.80","3.83","109/2",
"2423","固緯","6.73","108","13.20","1.48","109/2",
"2424","隴華","0.00","108","-","2.90","109/2",
"2425","承啟","1.24","108","23.86","1.53","109/2",
"2426","鼎元","1.82","108","11.87","1.28","109/2",
"2427","三商電","3.32","108","13.88","0.90","109/2",
"2428","興勤","3.65","108","12.78","2.36","109/2",
"2429","銘旺科","0.00","108","-","2.82","109/2",
"2430","燦坤","5.48","108","12.50","0.66","109/2",
"2431","聯昌","0.00","108","19.81","0.88","109/2",
"2433","互盛電","7.79","108","12.29","1.85","109/2",
"2434","統懋","0.00","108","-","4.30","109/2",
"2436","偉詮電","4.93","108","27.39","1.95","109/2",
"2438","翔耀","0.00","108","140.60","1.15","109/2",
"2439","美律","5.02","108","18.77","3.01","109/2",
"2440","太空梭","0.00","108","18.23","1.50","109/2",
"2441","超豐","4.53","108","12.70","1.74","109/2",
"2442","新美齊","0.00","108","-","0.74","109/2",
"2443","昶虹","0.00","108","-","0.76","109/2",
"2444","兆勁","0.00","108","-","1.74","109/2",
"2448","晶電","0.00","108","-","1.06","109/2",
"2449","京元電子","5.81","108","9.39","1.47","109/2",
"2450","神腦","5.06","108","17.16","1.32","109/2",
"2451","創見","7.00","108","16.61","1.52","109/2",
"2453","凌群","5.52","108","13.61","1.01","109/2",
"2454","聯發科","1.76","108","36.08","2.93","109/2",
"2455","全新","3.12","108","26.79","5.61","109/2",
"2456","奇力新","3.40","108","18.59","1.06","109/2",
"2457","飛宏","0.00","108","-","0.73","109/2",
"2458","義隆","4.14","108","17.33","6.83","109/2",
"2459","敦吉","7.42","108","9.39","1.04","109/2",
