"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"8104","錸寶","5.28","107","11.29","1.89","108/1",
"8105","凌巨","1.97","106","-","0.55","108/1",
"8110","華東","3.29","107","19.40","0.41","108/1",
"8112","至上","9.57","107","8.68","1.47","108/1",
"8114","振樺電","5.93","107","11.14","2.52","108/1",
"8131","福懋科","7.18","107","11.05","1.31","108/1",
"8150","南茂","5.13","107","13.37","0.93","108/1",
"8163","達方","7.97","107","7.80","1.34","108/1",
"8201","無敵","0.00","106","-","1.05","108/1",
"8210","勤誠","6.48","107","9.54","2.17","108/1",
"8213","志超","6.15","107","7.94","0.80","108/1",
"8215","明基材","2.59","107","25.72","1.76","108/1",
"8222","寶一","2.39","107","26.46","1.55","108/1",
"8249","菱光","5.92","107","11.61","0.83","108/1",
"8261","富鼎","3.90","107","12.27","1.43","108/1",
"8271","宇瞻","7.80","107","9.77","1.17","108/1",
"8341","日友","2.42","107","35.75","9.85","108/1",
"8367","建新國際","4.55","107","13.33","0.92","108/1",
"8374","羅昇","2.63","107","22.09","1.04","108/1",
"8404","百和興業-KY","1.92","107","42.10","2.99","108/1",
"8411","福貞-KY","2.32","106","-","0.47","108/1",
"8422","可寧衛","5.93","107","15.10","3.15","108/1",
"8427","基勝-KY","0.91","106","55.72","0.94","108/1",
"8429","金麗-KY","2.13","107","7.16","0.35","108/1",
"8442","威宏-KY","2.63","107","15.79","2.22","108/1",
"8443","阿瘦","3.61","107","238.00","0.51","108/1",
"8454","富邦媒","3.64","107","22.56","5.25","108/1",
"8462","柏文","2.41","107","33.17","9.16","108/1",
"8463","潤泰材","2.79","107","31.77","1.58","108/1",
"8464","億豐","4.54","107","16.81","4.80","108/1",
"8466","美吉吉-KY","4.15","107","12.57","1.84","108/1",
"8467","波力-KY","5.96","107","14.77","1.43","108/1",
"8473","山林水","4.91","107","23.14","1.17","108/1",
"8478","東哥遊艇","5.01","107","25.09","1.45","108/1",
"8480","泰昇-KY","4.27","107","17.17","2.85","108/1",
"8481","政伸","4.95","107","17.26","3.00","108/1",
"8482","商億-KY","5.82","107","15.09","3.94","108/1",
"8488","吉源-KY","3.13","107","-","0.42","108/1",
"8497","格威傳媒","7.04","107","10.28","2.60","108/1",
"8499","鼎炫-KY","5.29","107","10.92","2.62","108/1",
"8926","台汽電","5.46","107","18.80","1.34","108/1",
"8940","新天地","0.00","107","-","1.02","108/1",
"8996","高力","4.57","107","14.11","2.04","108/1",
"9802","鈺齊-KY","5.25","107","13.10","1.52","108/1",
"9902","台火","3.01","107","31.19","0.78","108/1",
"9904","寶成","4.00","107","9.54","1.12","108/1",
"9905","大華","4.03","107","17.22","1.08","108/1",
"9906","欣巴巴","9.67","106","-","1.18","108/1",
"9907","統一實","3.76","107","13.16","1.03","108/1",
"9908","大台北","3.79","107","20.46","1.34","108/1",
"9910","豐泰","3.28","107","26.26","8.91","108/1",
"9911","櫻花","5.84","107","12.37","2.16","108/1",
"9912","偉聯","0.00","106","-","0.87","108/1",
"9914","美利達","1.86","107","25.75","4.23","108/1",
"9917","中保科","4.51","107","19.12","3.59","108/1",
"9918","欣天然","3.39","107","24.78","2.00","108/1",
"9919","康那香","1.88","107","-","0.87","108/1",
"9921","巨大","1.85","107","28.28","4.28","108/1",
"9924","福興","5.22","107","10.61","1.60","108/1",
"9925","新保","5.26","107","17.78","1.49","108/1",
"9926","新海","3.66","107","22.78","2.43","108/1",
"9927","泰銘","4.47","107","18.73","1.24","108/1",
"9928","中視","0.00","106","-","1.41","108/1",
"9929","秋雨","0.00","107","-","2.97","108/1",
"9930","中聯資源","3.80","107","14.61","2.55","108/1",
"9931","欣高","3.94","107","16.84","1.71","108/1",
"9933","中鼎","4.96","107","20.07","1.96","108/1",
"9934","成霖","7.30","107","9.57","1.03","108/1",
"9935","慶豐富","1.35","107","16.27","2.21","108/1",
"9937","全國","4.66","107","17.51","2.62","108/1",
"9938","百和","2.89","107","19.17","2.89","108/1",
"9939","宏全","4.41","107","13.35","1.16","108/1",
"9940","信義","3.95","107","14.06","2.07","108/1",
"9941","裕融","5.75","107","15.92","2.43","108/1",
"9942","茂順","5.82","107","13.13","1.94","108/1",
"9943","好樂迪","8.06","107","10.55","2.21","108/1",
"9944","新麗","1.72","106","145.42","0.65","108/1",
"9945","潤泰新","4.71","107","4.49","0.76","108/1",
"9946","三發地產","4.99","107","6.87","0.98","108/1",
"9955","佳龍","0.00","106","-","1.06","108/1",
"9958","世紀鋼","0.43","107","407.65","3.86","108/1",
